iter	Passed	Remaining
396	1657	6693
397	1661	6686
398	1664	6680
399	1668	6675
400	1672	6668
401	1676	6663
402	1680	6659
403	1685	6659
404	1689	6654
405	1694	6651
406	1698	6647
407	1702	6641
408	1705	6636
409	1709	6630
410	1713	6624
411	1717	6618
412	1720	6612
413	1724	6607
414	1728	6600
415	1732	6595
416	1735	6589
417	1739	6583
418	1744	6580
419	1748	6578
420	1753	6576
421	1757	6572
422	1761	6567
423	1765	6562
424	1769	6556
425	1773	6551
426	1776	6545
427	1780	6539
428	1784	6533
429	1788	6528
430	1791	6523
431	1795	6517
432	1799	6512
433	1803	6507
434	1807	6503
435	1811	6497
436	1815	6491
437	1819	6488
438	1823	6482
439	1827	6478
440	1831	6473
441	1835	6470
442	1841	6470
443	1854	6498
444	1870	6537
445	1886	6573
446	1901	6606
447	1915	6634
448	1928	6662
449	1955	6735
450	1968	6761
451	1983	6793
452	1997	6822
453	2012	6854
454	2027	6883
455	2040	6908
456	2051	6925
457	2063	6945
458	2075	6968
459	2089	6994
460	2101	7015
461	2116	7045
462	2128	7066
463	2142	7090
464	2153	7107
465	2165	7129
466	2180	7157
467	2193	7180
468	2207	7204
469	2219	7226
470	2235	7258
471	2249	7281
472	2263	7305
473	2277	7331
474	2292	7359
475	2306	7386
476	2322	7416
477	2335	7436
478	2349	7461
479	2364	7486
480	2377	7509
481	2391	7531
482	2405	7555
483	2420	7580
484	2434	7603
485	2448	7626
486	2461	7647
487	2472	7661
488	2486	7683
489	2498	7699
490	2511	7720
491	2525	7739
492	2537	7757
493	2551	7778
494	2563	7794
495	2576	7813
496	2588	7827
497	2602	7848
498	2616	7871
499	2631	7893
500	2644	7912
501	2658	7934
502	2673	7956
503	2686	7974
504	2700	7994
505	2714	8015
506	2726	8029
507	2740	8048
508	2754	8070
509	2768	8088
510	2783	8110
511	2796	8126
512	2813	8154
513	2829	8178
514	2846	8208
515	2863	8234
516	2879	8258
517	2891	8273
518	2904	8286
519	2916	8301
520	2930	8318
521	2944	8337
522	2957	8351
523	2969	8365
524	2983	8381
525	2997	8400
526	3011	8418
527	3025	8435
528	3040	8455
529	3054	8472
530	3070	8493
531	3085	8514
532	3100	8534
533	3114	8550
534	3129	8569
535	3144	8587
536	3157	8602
537	3171	8618
538	3185	8635
539	3198	8648
540	3212	8663
541	3227	8682
542	3240	8694
543	3254	8711
544	3268	8725
545	3280	8737
546	3296	8756
547	3309	8768
548	3323	8784
549	3335	8793
550	3348	8806
551	3358	8809
552	3370	8819
553	3381	8826
554	3395	8840
555	3410	8856
556	3425	8873
557	3437	8882
558	3450	8895
559	3465	8912
560	3479	8926
561	3495	8942
562	3510	8959
563	3528	8983
564	3545	9004
565	3558	9015
566	3572	9029
567	3587	9044
568	3602	9059
569	3616	9073
570	3631	9087
571	3645	9101
572	3658	9110
573	3673	9126
574	3687	9139
575	3701	9151
576	3715	9163
577	3730	9178
578	3744	9189
579	3757	9198
580	3769	9206
581	3781	9214
582	3795	9224
583	3808	9233
584	3820	9241
585	3833	9249
586	3847	9262
587	3861	9271
588	3871	9275
589	3885	9285
590	3897	9290
591	3908	9296
592	3921	9304
593	3934	9312
594	3946	9319
595	3960	9329
596	3971	9333
597	3984	9340
598	3997	9349
599	4011	9359
600	4025	9369
601	4039	9380
602	4053	9391
603	4068	9404
604	4081	9410
605	4093	9415
606	4105	9421
607	4119	9430
608	4133	9440
609	4148	9452
610	4162	9461
611	4177	9474
612	4190	9482
613	4205	9492
614	4220	9503
615	4234	9514
616	4250	9526
617	4264	9536
618	4278	9545
619	4292	9554
620	4307	9565
621	4323	9578
622	4339	9591
623	4356	9606
624	4372	9619
625	4386	9628
626	4401	9637
627	4414	9644
628	4429	9654
629	4443	9662
630	4457	9671
631	4472	9680
632	4487	9691
633	4502	9701
634	4514	9703
635	4528	9711
636	4542	9720
637	4557	9728
638	4571	9737
639	4585	9745
640	4600	9754
641	4615	9762
642	4627	9766
643	4641	9773
644	4655	9781
645	4670	9789
646	4684	9796
647	4699	9804
648	4713	9812
649	4728	9820
650	4741	9824
651	4755	9831
652	4769	9839
653	4784	9847
654	4799	9856
655	4814	9863
656	4828	9869
657	4841	9873
658	4854	9879
659	4869	9887
660	4883	9893
661	4898	9900
662	4913	9907
663	4927	9914
664	4941	9919
665	4952	9920
666	4966	9925
667	4981	9932
668	4995	9939
669	5010	9946
670	5025	9953
671	5039	9959
672	5053	9964
673	5067	9968
674	5081	9974
675	5096	9981
676	5110	9987
677	5125	9993
678	5140	10000
679	5154	10005
680	5167	10008
681	5181	10013
682	5196	10020
683	5211	10026
684	5225	10032
685	5240	10038
686	5254	10042
687	5267	10045
688	5281	10049
689	5296	10056
690	5310	10060
691	5325	10066
692	5340	10071
693	5355	10078
694	5370	10084
695	5383	10085
696	5397	10089
697	5411	10093
698	5425	10098
699	5441	10104
700	5455	10109
701	5470	10114
702	5485	10119
703	5497	10120
704	5512	10125
705	5526	10128
706	5541	10134
707	5558	10142
708	5574	10150
709	5589	10156
710	5603	10158
711	5617	10161
712	5632	10166
713	5645	10168
714	5660	10173
715	5674	10176
716	5691	10183
717	5703	10184
718	5718	10188
719	5733	10192
720	5747	10195
721	5762	10199
722	5777	10203
