iter	MAE
0	0.4740401923
1	0.4666737871
2	0.4597170703
3	0.4523465524
4	0.445466393
5	0.4385988939
6	0.4318067001
7	0.4251770025
8	0.4188998474
9	0.4126116925
10	0.4064443633
11	0.400025511
12	0.3938513729
13	0.3882442508
14	0.3821789609
15	0.3758066611
16	0.3708208254
17	0.365166313
18	0.3597654672
19	0.3546331199
20	0.3492452872
21	0.3439943895
22	0.3393544828
23	0.3345711546
24	0.3299941143
25	0.3252249266
26	0.3205463585
27	0.316191853
28	0.3119906189
29	0.3073000012
30	0.3029729439
31	0.2987220584
32	0.2945861787
33	0.2903979134
34	0.2865099624
35	0.2829567263
36	0.2791460495
37	0.2752484519
38	0.2713979593
39	0.2680362046
40	0.2647969662
41	0.2619379751
42	0.2589063522
43	0.2562571806
44	0.2528575733
45	0.2498876965
46	0.2468134648
47	0.2437917217
48	0.2407765491
49	0.2378853458
50	0.235046399
51	0.2320371157
52	0.229386417
53	0.2269338434
54	0.2242129166
55	0.2213362461
56	0.2186155516
57	0.2161709046
58	0.2137687136
59	0.2120192392
60	0.2099248825
61	0.2074169974
62	0.2051570695
63	0.2028054513
64	0.2006127848
65	0.1988876395
66	0.196558506
67	0.1942476306
68	0.1920385766
69	0.1900711261
70	0.1881777879
71	0.1863132828
72	0.1845957302
73	0.1827084963
74	0.1812833743
75	0.1794542453
76	0.1776626803
77	0.1758403021
78	0.1742871136
79	0.172614688
80	0.1710824978
81	0.1694539809
82	0.167865581
83	0.1660205757
84	0.1644516307
85	0.1627567574
86	0.1612425703
87	0.1599951802
88	0.1586325679
89	0.1571196316
90	0.1555449512
91	0.1541579306
92	0.1527642522
93	0.1516733393
94	0.1503033674
95	0.1489670202
96	0.1475768376
97	0.1465740374
98	0.1453633906
99	0.144219442
100	0.1430432042
101	0.1418440553
102	0.140730146
103	0.1398697621
104	0.1386151233
105	0.1374227109
106	0.136229019
107	0.135530584
108	0.1345748783
109	0.1334417005
110	0.1325212883
111	0.1315690495
112	0.1305274389
113	0.1295581016
114	0.12847314
115	0.1276621459
116	0.126713083
117	0.1257450206
118	0.1250890216
119	0.1242686187
120	0.1234691846
121	0.1226386257
122	0.1219122208
123	0.1210339665
124	0.1203337294
125	0.1195102356
126	0.1189417927
127	0.1181417145
128	0.117476203
129	0.1168310372
130	0.1161656365
131	0.1154182744
132	0.1146602362
133	0.1142335068
134	0.1136075085
135	0.1128936783
136	0.1121653564
137	0.1115674844
138	0.1109486918
139	0.1103890577
140	0.1099254515
141	0.1093079836
142	0.1089314212
143	0.1084299744
144	0.1079809812
145	0.1075068278
146	0.1069997774
147	0.1065741009
148	0.1061011907
149	0.1056361998
150	0.105203007
151	0.1047351697
152	0.1042597916
153	0.1039197298
154	0.1035000275
155	0.1030423428
156	0.1026622692
157	0.1023043279
158	0.1018217472
159	0.1013307754
160	0.1008636043
161	0.1004069905
162	0.09996260695
163	0.09961899023
164	0.09915542985
165	0.09875582795
166	0.09838548237
167	0.0980123065
168	0.09759821066
169	0.09728672934
170	0.09691068071
171	0.09657665229
172	0.09624491086
173	0.09590569922
174	0.09554572059
175	0.09518299979
176	0.09486536403
177	0.09450500522
178	0.09417201258
179	0.09377380672
180	0.09352216198
181	0.0932396294
182	0.09283023148
183	0.09246509641
184	0.09214859804
185	0.09183553344
186	0.09157552435
187	0.091336194
188	0.09110594686
189	0.09088839557
